text,corrAns,letterColor,condsFile,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
neutral1,right,blue,exp_trials_block1.csv,neutral,,,,,1,0,2,0,0,5,5,2,left,0,0.0683569908142,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
positiva1,right,blue,exp_trials_block1.csv,positive,,,,,1,0,2,0,0,6,6,0,left,0,0.13463306427,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
neutral2,down,green,exp_trials_block1.csv,neutral,,,,,1,0,2,0,0,7,7,5,left,0,0.10107922554,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
negativa3,left,red,exp_trials_block1.csv,negative,,,,,1,0,2,0,0,8,8,7,left,1,0.017970085144,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
,,,exp_trials_block1.csv,,,,,,1,0,2,0,,,,,,,,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
negativa4,right,blue,exp_trials_block2.csv,negative,,,,,1,1,3,1,0,0,0,1,left,0,0.383754968643,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
neutral4,right,blue,exp_trials_block2.csv,neutral,,,,,1,1,3,1,0,1,1,2,left,0,0.217450857162,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
positiva4,right,blue,exp_trials_block2.csv,positive,,,,,1,1,3,1,0,2,2,0,left,0,0.350931882858,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
positiva6,left,red,exp_trials_block2.csv,positive,,,,,1,1,3,1,0,3,3,6,left,1,0.217723846436,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
neutral5,down,green,exp_trials_block2.csv,neutral,,,,,1,1,3,1,0,4,4,5,left,0,0.100413799286,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
positiva5,down,green,exp_trials_block2.csv,positive,,,,,1,1,3,1,0,5,5,3,left,0,0.101332902908,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
negativa6,left,red,exp_trials_block2.csv,negative,,,,,1,1,3,1,0,6,6,7,left,1,0.367108106613,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
negativa5,down,green,exp_trials_block2.csv,negative,,,,,1,1,3,1,0,7,7,4,left,0,0.28419303894,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
neutral6,left,red,exp_trials_block2.csv,neutral,,,,,1,1,3,1,0,8,8,8,left,1,0.0508570671082,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
,,,exp_trials_block2.csv,,,,,,1,1,3,1,,,,,,,,2018_Aug_24_1939,60.2239640693,emo_stroop,01,mario2,
