text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,8,,,,,,,,,down,0,2.38452315331,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
azul,right,blue,,0,1,1,3,,,,,,,,,down,0,1.2175719738,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
verde,down,green,,0,2,2,7,,,,,,,,,left,0,0.101482152939,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
verde,down,green,,0,3,3,4,,,,,,,,,left,0,0.118425130844,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
rojo,right,blue,,0,4,4,0,,,,,,,,,down,0,0.119604110718,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
verde,down,green,,0,5,5,5,,,,,,,,,left,0,0.0347890853882,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
verde,down,green,,0,6,6,6,,,,,,,,,left,0,0.0677969455719,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
rojo,left,red,,0,7,7,9,,,,,,,,,down,0,0.0684020519257,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
azul,right,blue,,0,8,8,2,,,,,,,,,right,1,0.135421991348,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
azul,right,blue,,0,9,9,1,,,,,,,,,down,0,0.00273394584656,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
rojo,left,red,,0,10,10,11,,,,,,,,,down,0,0.118624925613,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
rojo,left,red,,0,11,11,10,,,,,,,,,left,1,0.10253405571,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,0,0,0,left,0,1.26817011833,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,1,1,1,left,0,0.00136089324951,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
negativa2,down,green,negative,,,,,0,0,0,0,0,2,2,3,down,1,0.184710979462,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,3,3,4,left,0,0.117650032043,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,4,4,6,left,1,0.0194230079651,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,5,5,7,down,0,0.353143930435,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,6,6,5,down,0,0.284645080566,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,7,7,2,down,1,0.501078128815,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
neutral5,down,green,neutral,,,,,1,0,1,0,0,0,0,4,down,1,0.385047912598,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
negativa4,right,blue,negative,,,,,1,0,1,0,0,1,1,0,down,0,0.401989221573,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
negativa5,down,green,negative,,,,,1,0,1,0,0,2,2,3,down,1,0.0841410160065,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
negativa6,left,red,negative,,,,,1,0,1,0,0,3,3,6,down,0,0.252909898758,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
positiva6,left,red,positive,,,,,1,0,1,0,0,4,4,5,down,0,0.118704795837,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
positiva5,down,green,positive,,,,,1,0,1,0,0,5,5,2,down,1,0.202813148499,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
neutral6,left,red,neutral,,,,,1,0,1,0,0,6,6,7,down,0,0.334352970123,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,1,0,1,0,0,7,7,1,down,0,0.235519170761,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_15_1207,59.9068183701,emo_stroop,01,,
