text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,,0,0,0,7,,,,,,,,,right,1,1.96790003777,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
azul,right,blue,,0,1,1,1,,,,,,,,,right,1,0.201969146729,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
verde,down,green,,0,2,2,9,,,,,,,,,right,0,0.11722111702,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
rojo,left,red,,0,3,3,10,,,,,,,,,right,0,0.168387889862,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
verde,down,green,,0,4,4,2,,,,,,,,,right,0,0.218264102936,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
rojo,left,red,,0,5,5,4,,,,,,,,,right,0,0.0516600608826,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
azul,right,blue,,0,6,6,0,,,,,,,,,right,1,0.218499183655,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
verde,down,green,,0,7,7,3,,,,,,,,,right,0,0.234275102615,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
rojo,left,red,,0,8,8,11,,,,,,,,,right,0,0.16713809967,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
rojo,left,red,,0,9,9,5,,,,,,,,,right,0,0.167629957199,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
azul,right,blue,,0,10,10,6,,,,,,,,,right,1,0.151340961456,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
verde,down,green,,0,11,11,8,,,,,,,,,right,0,0.235124111176,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,0,0,2,right,1,0.135066986084,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,1,1,1,right,1,0.0682489871979,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
positiva1,right,blue,positive,,,,,0,0,0,0,0,2,2,0,right,1,0.0860800743103,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,3,3,8,right,0,0.234193086624,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
negativa2,down,green,negative,,,,,0,0,0,0,0,4,4,4,right,0,0.18493103981,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,5,5,7,right,0,0.00167989730835,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,6,6,3,right,0,0.034707069397,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,7,7,6,right,0,0.0185132026672,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,8,8,5,right,0,0.0184900760651,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
positiva5,down,green,positive,,,,,1,0,1,0,0,0,0,3,right,0,0.0340950489044,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
negativa5,down,green,negative,,,,,1,0,1,0,0,1,1,4,right,0,0.234641075134,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
negativa6,left,red,negative,,,,,1,0,1,0,0,2,2,7,right,0,0.0187358856201,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
positiva6,left,red,positive,,,,,1,0,1,0,0,3,3,6,right,0,0.450603961945,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
neutral6,left,red,neutral,,,,,1,0,1,0,0,4,4,8,right,0,0.0682051181793,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,1,0,1,0,0,5,5,2,right,1,0.0857400894165,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
positiva4,right,blue,positive,,,,,1,0,1,0,0,6,6,0,right,1,0.235096931458,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
neutral5,down,green,neutral,,,,,1,0,1,0,0,7,7,5,right,0,0.0516939163208,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
negativa4,right,blue,negative,,,,,1,0,1,0,0,8,8,1,right,1,0.101017951965,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_26_1541,60.1829175551,emo_stroop,01,,
