text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,,0,0,0,4,,,,,,,,,left,0,0.917603969574,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
azul,right,blue,,0,1,1,3,,,,,,,,,right,1,0.868736028671,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
rojo,left,red,,0,2,2,10,,,,,,,,,left,1,0.550256967545,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
azul,right,blue,,0,3,3,2,,,,,,,,,right,1,0.818409919739,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
rojo,left,red,,0,4,4,8,,,,,,,,,left,1,0.81719994545,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
rojo,left,red,,0,5,5,11,,,,,,,,,left,1,0.550940036774,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
rojo,left,red,,0,6,6,9,,,,,,,,,left,1,0.517896175385,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
azul,right,blue,,0,7,7,0,,,,,,,,,right,1,0.918323040009,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
verde,down,green,,0,8,8,6,,,,,,,,,down,1,0.434435844421,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
verde,down,green,,0,9,9,7,,,,,,,,,down,1,0.65216588974,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
verde,down,green,,0,10,10,5,,,,,,,,,down,1,1.03561306,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
azul,right,blue,,0,11,11,1,,,,,,,,,right,1,0.684988021851,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,0,0,6,left,1,0.735434055328,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
negativa2,down,green,negative,,,,,0,0,0,0,0,1,1,3,left,0,1.48482990265,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,2,2,1,left,0,0.78457903862,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,3,3,0,left,0,1.18431615829,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,4,4,2,left,0,0.884349107742,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,5,5,7,left,1,0.902317047119,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,6,6,5,left,1,0.784558057785,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,7,7,4,left,0,0.569072008133,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
negativa5,down,green,negative,,,,,1,0,1,0,0,0,0,3,down,1,26.2172780037,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
negativa4,right,blue,negative,,,,,1,0,1,0,0,1,1,0,down,0,0.984543085098,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
positiva6,left,red,positive,,,,,1,0,1,0,0,2,2,5,down,0,0.485617160797,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
positiva5,down,green,positive,,,,,1,0,1,0,0,3,3,2,down,1,0.900191068649,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
neutral6,left,red,neutral,,,,,1,0,1,0,0,4,4,7,down,0,0.401955842972,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
neutral5,down,green,neutral,,,,,1,0,1,0,0,5,5,4,down,1,1.66780519485,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
negativa6,left,red,negative,,,,,1,0,1,0,0,6,6,6,down,0,0.684339046478,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,1,0,1,0,0,7,7,1,down,0,0.551191091537,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_15_1214,60.4514650563,emo_stroop,01,,
