text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,,0,0,0,8,,,,,,,,,left,0,0.068528175354,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
azul,right,blue,,0,1,1,6,,,,,,,,,right,1,0.0196750164032,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
verde,down,green,,0,2,2,9,,,,,,,,,down,1,0.0339448451996,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
verde,down,green,,0,3,3,2,,,,,,,,,down,1,0.0518200397491,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
rojo,left,red,,0,4,4,4,,,,,,,,,left,1,0.0684812068939,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
azul,right,blue,,0,5,5,7,,,,,,,,,right,1,0.135733127594,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
rojo,left,red,,0,6,6,11,,,,,,,,,right,0,0.0521478652954,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
rojo,left,red,,0,7,7,10,,,,,,,,,left,1,0.101890087128,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
rojo,left,red,,0,8,8,5,,,,,,,,,right,0,0.117934942245,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
verde,down,green,,0,9,9,3,,,,,,,,,left,0,0.0844068527222,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
azul,right,blue,,0,10,10,1,,,,,,,,,down,0,0.56654882431,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
azul,right,blue,,0,11,11,0,,,,,,,,,left,0,0.00144815444946,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,0,0,5,left,0,0.366878032684,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,1,1,1,down,0,0.0166380405426,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
positiva1,right,blue,positive,,,,,0,0,0,0,0,2,2,0,down,0,0.0858299732208,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,3,3,2,right,1,0.0347669124603,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,4,4,6,left,1,0.317241191864,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,5,5,8,right,0,0.318315982819,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,6,6,3,right,0,0.802200078964,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,7,7,7,right,0,0.120231151581,2018_Sep_26_1513,59.9438049695,emo_stroop,01,,
