text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,10,,,,,left,1,0.252817869186,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
rojo,left,red,0,1,1,4,,,,,left,1,0.117964982986,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
verde,down,green,0,2,2,2,,,,,left,0,0.101746082306,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
azul,right,blue,0,3,3,6,,,,,down,0,0.0342659950256,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
verde,down,green,0,4,4,8,,,,,left,0,0.00229406356812,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
azul,right,blue,0,5,5,1,,,,,right,1,0.168657064438,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
azul,right,blue,0,6,6,7,,,,,right,1,0.184402942657,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
rojo,left,red,0,7,7,11,,,,,right,0,0.168333053589,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
rojo,left,red,0,8,8,5,,,,,right,0,0.135560035706,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
verde,down,green,0,9,9,3,,,,,right,0,0.0345139503479,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
azul,right,blue,0,10,10,0,,,,,right,1,0.118766069412,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
verde,down,green,0,11,11,9,,,,,right,0,0.384834051132,2018_Sep_26_1526,59.9530587566,emo_stroop,01,,
