text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,9,,,,,,,,,right,0,0.350222826004,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
verde,down,green,,0,1,1,5,,,,,,,,,right,0,0.184282064438,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
rojo,left,red,,0,2,2,10,,,,,,,,,right,0,0.018002986908,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
rojo,right,blue,,0,3,3,0,,,,,,,,,down,0,0.151170015335,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
rojo,left,red,,0,4,4,11,,,,,,,,,down,0,0.0674719810486,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
verde,down,green,,0,5,5,4,,,,,,,,,right,0,0.00140881538391,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
rojo,left,red,,0,6,6,8,,,,,,,,,down,0,0.101979017258,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
azul,right,blue,,0,7,7,3,,,,,,,,,right,1,0.0182530879974,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
azul,right,blue,,0,8,8,1,,,,,,,,,right,1,0.0516920089722,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
verde,down,green,,0,9,9,7,,,,,,,,,right,0,0.0516231060028,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
azul,right,blue,,0,10,10,2,,,,,,,,,right,1,0.00126600265503,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
verde,down,green,,0,11,11,6,,,,,,,,,left,0,0.00154995918274,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
negativa2,down,green,negative,,,,,0,0,0,0,0,0,0,3,left,0,0.483490943909,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,1,1,7,left,1,0.134843826294,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,2,2,0,left,0,0.0677978992462,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,3,3,4,left,0,0.067626953125,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,4,4,1,down,0,0.0182130336761,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,5,5,6,left,1,0.00130105018616,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,6,6,5,down,0,0.0175330638885,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,7,7,2,left,0,0.0358500480652,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
neutral6,left,red,neutral,,,,,1,0,1,0,0,0,0,7,left,1,0.00129890441895,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
negativa6,left,red,negative,,,,,1,0,1,0,0,1,1,6,down,0,0.0521419048309,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
negativa5,down,green,negative,,,,,1,0,1,0,0,2,2,3,down,1,0.0189189910889,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
positiva6,left,red,positive,,,,,1,0,1,0,0,3,3,5,left,1,0.0175979137421,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
positiva5,down,green,positive,,,,,1,0,1,0,0,4,4,2,right,0,0.00130796432495,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,1,0,1,0,0,5,5,1,left,0,0.11786198616,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
negativa4,right,blue,negative,,,,,1,0,1,0,0,6,6,0,right,1,0.117648839951,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
neutral5,down,green,neutral,,,,,1,0,1,0,0,7,7,4,down,1,0.035943031311,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Aug_29_1354,59.9768060733,emo_stroop,01,,
