text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,8,,,,,,,,,right,0,0.485826969147,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
azul,right,blue,,0,1,1,2,,,,,,,,,right,1,0.36906504631,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
azul,right,blue,,0,2,2,1,,,,,,,,,right,1,0.00160884857178,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
verde,down,green,,0,3,3,4,,,,,,,,,right,0,0.151411056519,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
rojo,left,red,,0,4,4,10,,,,,,,,,right,0,0.118557929993,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
rojo,left,red,,0,5,5,11,,,,,,,,,right,0,0.217918157578,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
verde,down,green,,0,6,6,5,,,,,,,,,right,0,0.186256885529,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
verde,down,green,,0,7,7,7,,,,,,,,,right,0,0.118643045425,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
verde,down,green,,0,8,8,6,,,,,,,,,right,0,0.135879993439,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
rojo,left,red,,0,9,9,9,,,,,,,,,right,0,0.0501940250397,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
azul,right,blue,,0,10,10,0,,,,,,,,,right,1,0.668655157089,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
azul,right,blue,,0,11,11,3,,,,,,,,,right,1,0.385586977005,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
positiva4,right,blue,positive,,,,,0,0,0,0,0,0,0,8,right,1,0.368283987045,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,1,1,4,right,0,0.318881988525,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,2,2,1,right,1,2.17007398605,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,3,3,5,right,0,0.66840004921,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
negativa2,down,green,negative,,,,,0,0,0,0,0,4,4,3,right,0,0.535002946854,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,5,5,6,right,0,0.668600082397,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,6,6,0,right,1,0.551388025284,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,7,7,7,right,0,0.917872190475,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,8,8,2,right,0,0.684676885605,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,1,0,1,0,0,0,0,1,right,1,0.785450935364,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
positiva5,down,green,positive,,,,,1,0,1,0,0,1,1,2,right,0,0.468142032623,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
neutral5,down,green,neutral,,,,,1,0,1,0,0,2,2,4,right,0,0.61964392662,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
negativa6,left,red,negative,,,,,1,0,1,0,0,3,3,6,right,0,0.319328069687,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
negativa5,down,green,negative,,,,,1,0,1,0,0,4,4,3,right,0,0.333931922913,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
negativa4,right,blue,negative,,,,,1,0,1,0,0,5,5,0,right,1,0.317981004715,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
positiva6,left,red,positive,,,,,1,0,1,0,0,6,6,5,right,0,0.385570049286,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
neutral6,left,red,neutral,,,,,1,0,1,0,0,7,7,7,right,0,0.367439031601,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_15_1226,59.8715866105,emo_stroop,01,,
