text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,4,,,,,right,0,0.751147985458,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
verde,down,green,0,1,1,9,,,,,right,0,0.517071008682,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
azul,right,blue,0,2,2,7,,,,,right,1,0.0514690876007,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
verde,down,green,0,3,3,3,,,,,right,0,0.184193134308,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
rojo,left,red,0,4,4,10,,,,,right,0,0.168105125427,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
azul,right,blue,0,5,5,0,,,,,right,1,3.06953787804,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
verde,down,green,0,6,6,2,,,,,right,0,1.86771893501,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
verde,down,green,0,7,7,8,,,,,right,0,1.20113706589,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
rojo,left,red,0,8,8,5,,,,,right,0,0.867824077606,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
rojo,left,red,0,9,9,11,,,,,right,0,0.400882005692,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
azul,right,blue,0,10,10,6,,,,,right,1,1.75176405907,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
azul,right,blue,0,11,11,1,,,,,right,1,0.167430877686,2018_Sep_26_1516,60.1579713575,emo_stroop,01,,
