text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,,0,0,0,3,,,,,,,,,right,1,1.86389493942,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
rojo,left,red,,0,1,1,11,,,,,,,,,left,1,0.633237123489,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
rojo,left,red,,0,2,2,10,,,,,,,,,left,1,0.716455936432,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
verde,down,green,,0,3,3,5,,,,,,,,,down,1,1.09906411171,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
rojo,left,red,,0,4,4,8,,,,,,,,,right,0,1.21524119377,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
verde,down,green,,0,5,5,6,,,,,,,,,down,1,1.18192410469,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
azul,right,blue,,0,6,6,2,,,,,,,,,down,0,0.417361021042,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
rojo,right,blue,,0,7,7,0,,,,,,,,,down,0,1.24818491936,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
verde,down,green,,0,8,8,4,,,,,,,,,down,1,0.550606966019,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
rojo,left,red,,0,9,9,9,,,,,,,,,left,1,0.58345913887,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
azul,right,blue,,0,10,10,1,,,,,,,,,right,1,0.499243974686,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
verde,down,green,,0,11,11,7,,,,,,,,,down,1,0.383879184723,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
negativa6,left,red,negative,,,,,0,0,0,0,0,0,0,6,down,0,0.650014877319,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
positiva6,left,red,positive,,,,,0,0,0,0,0,1,1,5,down,0,0.416796922684,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
neutral6,left,red,neutral,,,,,0,0,0,0,0,2,2,7,left,1,0.466750860214,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
neutral5,down,green,neutral,,,,,0,0,0,0,0,3,3,4,down,1,0.599483966827,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,4,4,1,down,0,0.217450141907,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
negativa4,right,blue,negative,,,,,0,0,0,0,0,5,5,0,down,0,0.400636911392,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
negativa5,down,green,negative,,,,,0,0,0,0,0,6,6,3,down,1,0.483453035355,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
positiva5,down,green,positive,,,,,0,0,0,0,0,7,7,2,down,1,0.366986036301,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
negativa1,right,blue,negative,,,,,1,0,1,0,0,0,0,0,right,1,0.948971986771,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
neutral2,down,green,neutral,,,,,1,0,1,0,0,1,1,4,right,0,0.666368961334,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
positiva2,down,green,positive,,,,,1,0,1,0,0,2,2,2,down,1,1.63077902794,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
neutral3,left,red,neutral,,,,,1,0,1,0,0,3,3,7,left,1,0.650130033493,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
negativa2,down,green,negative,,,,,1,0,1,0,0,4,4,3,down,1,0.8163189888,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,1,0,1,0,0,5,5,1,right,1,0.865692138672,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
negativa3,left,red,negative,,,,,1,0,1,0,0,6,6,6,down,0,0.832813024521,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
positiva3,left,red,positive,,,,,1,0,1,0,0,7,7,5,left,1,1.39793586731,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_05_1336,60.2801371655,emo_stroop,01,,
