text,corrAns,letterColor,condition,trial_blocks_practice.thisRepN,trial_blocks_practice.thisTrialN,trial_blocks_practice.thisN,trial_blocks_practice.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks_exp.thisRepN,trial_blocks_exp.thisTrialN,trial_blocks_exp.thisN,trial_blocks_exp.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,0,0,0,0,5,,,,,,,,,right,0,0.65073800087,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
rojo,left,red,,0,0,0,0,0,1,1,4,,,,,,,,,left,1,0.485440969467,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
azul,right,blue,,0,0,0,0,0,2,2,0,,,,,,,,,right,1,0.684762001038,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
azul,right,blue,,0,0,0,0,0,3,3,1,,,,,,,,,right,1,0.501821994781,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
verde,down,green,,0,0,0,0,0,4,4,2,,,,,,,,,down,1,0.267837047577,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
verde,down,green,,0,0,0,0,0,5,5,3,,,,,,,,,down,1,0.334949016571,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
,,,,0,0,0,0,,,,,,,,,,,,,,,,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
rojo,left,red,,1,0,1,0,0,0,0,4,,,,,,,,,left,1,0.701342821121,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
verde,down,green,,1,0,1,0,0,1,1,3,,,,,,,,,down,1,0.651494979858,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
azul,right,blue,,1,0,1,0,0,2,2,0,,,,,,,,,right,1,0.567880153656,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
rojo,left,red,,1,0,1,0,0,3,3,5,,,,,,,,,down,0,0.984703063965,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
azul,right,blue,,1,0,1,0,0,4,4,1,,,,,,,,,right,1,0.717934131622,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
verde,down,green,,1,0,1,0,0,5,5,2,,,,,,,,,down,1,0.268082857132,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
,,,,1,0,1,0,,,,,,,,,,,,,,,,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
neutral6,left,red,neutral,,,,,,,,,0,0,0,0,0,0,0,8,down,0,0.751249074936,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
negativa6,left,red,negative,,,,,,,,,0,0,0,0,0,1,1,7,right,0,0.151034116745,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
positiva5,down,green,positive,,,,,,,,,0,0,0,0,0,2,2,3,right,0,0.0516729354858,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
positiva6,left,red,positive,,,,,,,,,0,0,0,0,0,3,3,6,right,0,0.335222959518,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
negativa4,right,blue,negative,,,,,,,,,0,0,0,0,0,4,4,1,right,1,0.384900093079,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
positiva4,right,blue,positive,,,,,,,,,0,0,0,0,0,5,5,0,right,1,0.434930801392,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,,,,,0,0,0,0,0,6,6,2,right,1,0.401518821716,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
negativa5,down,green,negative,,,,,,,,,0,0,0,0,0,7,7,4,right,0,0.284359931946,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
neutral5,down,green,neutral,,,,,,,,,0,0,0,0,0,8,8,5,right,0,1.30133104324,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
,,,,,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
neutral3,left,red,neutral,,,,,,,,,1,0,1,0,0,0,0,8,right,0,0.369751930237,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
negativa2,down,green,negative,,,,,,,,,1,0,1,0,0,1,1,4,right,0,0.168005943298,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
positiva3,left,red,positive,,,,,,,,,1,0,1,0,0,2,2,6,right,0,0.101013183594,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
positiva2,down,green,positive,,,,,,,,,1,0,1,0,0,3,3,3,right,0,0.317738056183,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
neutral2,down,green,neutral,,,,,,,,,1,0,1,0,0,4,4,5,right,0,0.334219932556,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,,,,,1,0,1,0,0,5,5,2,right,1,0.43563580513,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
positiva1,right,blue,positive,,,,,,,,,1,0,1,0,0,6,6,0,right,1,0.30110001564,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
negativa3,left,red,negative,,,,,,,,,1,0,1,0,0,7,7,7,right,0,0.301857948303,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
negativa1,right,blue,negative,,,,,,,,,1,0,1,0,0,8,8,1,right,1,0.368072032928,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
,,,,,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_26_1558,59.7754237349,emo_stroop,01,,
