text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,,0,0,0,1,,,,,,,,,left,0,0.0498969554901,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
verde,down,green,,0,1,1,4,,,,,,,,,left,0,0.0182750225067,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
rojo,right,blue,,0,2,2,0,,,,,,,,,right,1,0.101334095001,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
verde,down,green,,0,3,3,6,,,,,,,,,right,0,0.201010942459,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
azul,right,blue,,0,4,4,3,,,,,,,,,left,0,0.0685429573059,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
rojo,left,red,,0,5,5,8,,,,,,,,,left,1,0.0358409881592,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
rojo,left,red,,0,6,6,10,,,,,,,,,left,1,0.0679769515991,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
azul,right,blue,,0,7,7,2,,,,,,,,,left,0,0.134866952896,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
rojo,left,red,,0,8,8,11,,,,,,,,,down,0,0.0348398685455,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
verde,down,green,,0,9,9,7,,,,,,,,,right,0,0.034371137619,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
rojo,left,red,,0,10,10,9,,,,,,,,,left,1,0.0683219432831,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
verde,down,green,,0,11,11,5,,,,,,,,,right,0,0.0515029430389,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,0,0,1,right,1,0.101198911667,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
positiva5,down,green,positive,,,,,0,0,0,0,0,1,1,2,right,0,0.134762048721,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
neutral6,left,red,neutral,,,,,0,0,0,0,0,2,2,7,right,0,0.117561101913,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
negativa4,right,blue,negative,,,,,0,0,0,0,0,3,3,0,right,1,0.0182008743286,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
neutral5,down,green,neutral,,,,,0,0,0,0,0,4,4,4,right,0,0.020231962204,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
positiva6,left,red,positive,,,,,0,0,0,0,0,5,5,5,right,0,0.0351490974426,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
negativa6,left,red,negative,,,,,0,0,0,0,0,6,6,6,down,0,0.367384910583,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
negativa5,down,green,negative,,,,,0,0,0,0,0,7,7,3,down,1,0.00169992446899,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
negativa3,left,red,negative,,,,,1,0,1,0,0,0,0,6,down,0,0.00204205513,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
positiva2,down,green,positive,,,,,1,0,1,0,0,1,1,2,right,0,0.00155186653137,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,1,0,1,0,0,2,2,1,left,0,0.0685660839081,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
negativa2,down,green,negative,,,,,1,0,1,0,0,3,3,3,right,0,0.100316047668,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
neutral3,left,red,neutral,,,,,1,0,1,0,0,4,4,7,down,0,0.00151801109314,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
neutral2,down,green,neutral,,,,,1,0,1,0,0,5,5,4,down,1,0.0168218612671,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
negativa1,right,blue,negative,,,,,1,0,1,0,0,6,6,0,right,1,0.0185220241547,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
positiva3,left,red,positive,,,,,1,0,1,0,0,7,7,5,right,0,0.0014021396637,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Aug_29_1351,60.0156825037,emo_stroop,01,,
