text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,,0,0,0,6,,,,,,,,,right,0,0.786071062088,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
azul,right,blue,,0,1,1,1,,,,,,,,,right,1,0.318047046661,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
rojo,left,red,,0,2,2,8,,,,,,,,,right,0,0.469049930573,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
azul,right,blue,,0,3,3,2,,,,,,,,,down,0,0.36713886261,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
rojo,left,red,,0,4,4,10,,,,,,,,,left,1,0.485958099365,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
verde,down,green,,0,5,5,7,,,,,,,,,down,1,0.41829419136,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
verde,down,green,,0,6,6,4,,,,,,,,,left,0,0.417934179306,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
azul,right,blue,,0,7,7,3,,,,,,,,,right,1,0.819998025894,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
rojo,left,red,,0,8,8,9,,,,,,,,,left,1,0.418107032776,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
rojo,right,blue,,0,9,9,0,,,,,,,,,right,1,0.769994020462,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
rojo,left,red,,0,10,10,11,,,,,,,,,left,1,0.584764003754,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
verde,down,green,,0,11,11,5,,,,,,,,,down,1,0.568604946136,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
negativa6,left,red,negative,,,,,0,0,0,0,0,0,0,6,left,1,0.584944963455,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
positiva5,down,green,positive,,,,,0,0,0,0,0,1,1,2,left,0,0.501960992813,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
neutral6,left,red,neutral,,,,,0,0,0,0,0,2,2,7,left,1,0.467767953873,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
positiva6,left,red,positive,,,,,0,0,0,0,0,3,3,5,left,1,0.452774047852,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
neutral5,down,green,neutral,,,,,0,0,0,0,0,4,4,4,left,0,0.417146921158,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,5,5,1,left,0,0.484582901001,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
negativa5,down,green,negative,,,,,0,0,0,0,0,6,6,3,left,0,0.469504833221,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
negativa4,right,blue,negative,,,,,0,0,0,0,0,7,7,0,left,0,0.283867835999,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
neutral3,left,red,neutral,,,,,1,0,1,0,0,0,0,7,left,1,2.71883606911,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,1,0,1,0,0,1,1,1,left,0,0.768383979797,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
negativa3,left,red,negative,,,,,1,0,1,0,0,2,2,6,left,1,0.601306200027,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
negativa1,right,blue,negative,,,,,1,0,1,0,0,3,3,0,left,0,0.634428024292,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
neutral2,down,green,neutral,,,,,1,0,1,0,0,4,4,4,left,0,0.868026971817,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
positiva3,left,red,positive,,,,,1,0,1,0,0,5,5,5,left,1,0.634517908096,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
negativa2,down,green,negative,,,,,1,0,1,0,0,6,6,3,left,0,0.435009002686,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
positiva2,down,green,positive,,,,,1,0,1,0,0,7,7,2,left,0,0.401453018188,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_15_1208,60.1923317026,emo_stroop,01,,
