text,congruent,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,cong,right,blue,0,0,0,10,,,,,right,1,0.101149082184,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,0,1,1,1,,,,,left,1,0.0350091457367,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,right,blue,0,2,2,3,,,,,down,0,0.00241708755493,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,left,red,0,3,3,8,,,,,right,0,0.550372123718,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,down,green,0,4,4,2,,,,,left,0,2.94480705261,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,0,5,5,5,,,,,left,0,0.466944932938,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,down,green,0,6,6,9,,,,,left,0,1.48094701767,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,0,7,7,11,,,,,down,0,0.533382177353,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,right,blue,0,8,8,7,,,,,down,0,0.483869075775,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,0,9,9,6,,,,,down,1,0.567193984985,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,left,red,0,10,10,4,,,,,down,0,0.333906173706,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,0,11,11,0,,,,,left,1,0.499070882797,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,down,green,,,,,0,0,0,2,left,0,1.28199195862,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,right,blue,,,,,0,1,1,3,down,0,0.467245101929,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,down,green,,,,,0,2,2,9,down,1,0.18457698822,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,,,,,0,3,3,6,left,0,0.0190930366516,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,right,blue,,,,,0,4,4,7,down,0,0.00274085998535,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,,,,,0,5,5,5,down,1,0.0687911510468,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,,,,,0,6,6,11,down,0,0.085597038269,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,,,,,0,7,7,1,down,0,0.0693051815033,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,,,,,0,8,8,0,down,0,0.0855751037598,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,left,red,,,,,0,9,9,8,down,0,0.0855259895325,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,,,,,0,10,10,10,down,0,0.101838111877,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,left,red,,,,,0,11,11,4,down,0,0.0187640190125,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,right,blue,,,,,1,0,12,7,down,0,0.119268894196,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,left,red,,,,,1,1,13,8,down,0,0.0521140098572,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,,,,,1,2,14,11,down,0,0.0670459270477,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,down,green,,,,,1,3,15,2,right,0,0.101142883301,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,,,,,1,4,16,0,down,0,0.0853161811829,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,,,,,1,5,17,1,down,0,0.0688951015472,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,down,green,,,,,1,6,18,9,down,1,0.118777036667,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,,,,,1,7,19,10,down,0,0.10218501091,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,left,red,,,,,1,8,20,4,left,1,0.0186989307404,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,right,blue,,,,,1,9,21,3,down,0,0.0528049468994,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,,,,,1,10,22,5,left,0,0.0345959663391,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,,,,,1,11,23,6,down,1,0.119009971619,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,,,,,2,0,24,10,down,0,0.102102994919,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,,,,,2,1,25,5,right,0,0.0684390068054,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,left,red,,,,,2,2,26,4,left,1,0.0360169410706,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,,,,,2,3,27,11,down,0,0.0502829551697,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,down,green,,,,,2,4,28,9,left,0,0.0355670452118,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,left,red,,,,,2,5,29,8,down,0,0.102334976196,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,,,,,2,6,30,1,left,1,0.0188019275665,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,right,blue,,,,,2,7,31,3,left,0,0.417398929596,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,down,green,,,,,2,8,32,2,left,0,0.00206398963928,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,right,blue,,,,,2,9,33,7,left,0,0.334007024765,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,,,,,2,10,34,6,left,0,0.00233697891235,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,,,,,2,11,35,0,down,0,0.151735067368,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,left,red,,,,,3,0,36,8,down,0,0.0023729801178,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,,,,,3,1,37,6,left,0,0.102260112762,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,,,,,3,2,38,10,down,0,0.10219502449,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,down,green,,,,,3,3,39,2,left,0,0.068990945816,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,down,green,,,,,3,4,40,9,down,1,0.118911981583,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,,,,,3,5,41,0,left,1,0.0172049999237,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,right,blue,,,,,3,6,42,7,down,0,0.135376930237,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,,,,,3,7,43,1,left,1,0.0192868709564,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,left,red,,,,,3,8,44,4,left,1,0.00230598449707,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,,,,,3,9,45,5,down,1,0.118699073792,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,,,,,3,10,46,11,left,0,0.0196721553802,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,right,blue,,,,,3,11,47,3,right,1,0.117656946182,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,left,red,,,,,4,0,48,4,down,0,0.00122404098511,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,incong,right,blue,,,,,4,1,49,7,right,1,0.00194501876831,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,,,,,4,2,50,5,right,0,0.00133109092712,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,,,,,4,3,51,11,down,0,0.102028131485,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,cong,right,blue,,,,,4,4,52,10,right,1,0.0336580276489,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
verde,cong,down,green,,,,,4,5,53,6,left,0,0.299803972244,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,,,,,4,6,54,0,down,0,0.00169682502747,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,left,red,,,,,4,7,55,8,right,0,0.101032018661,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,cong,left,red,,,,,4,8,56,1,down,0,0.0188097953796,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
azul,incong,down,green,,,,,4,9,57,9,right,0,0.0347909927368,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,down,green,,,,,4,10,58,2,right,0,0.0179469585419,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
rojo,incong,right,blue,,,,,4,11,59,3,left,0,0.0849180221558,2018_Aug_15_1328,60.0719837643,emo_stroop,01,,
