text,corrAns,letterColor,condition,trial_blocks_practice.thisRepN,trial_blocks_practice.thisTrialN,trial_blocks_practice.thisN,trial_blocks_practice.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks_exp.thisRepN,trial_blocks_exp.thisTrialN,trial_blocks_exp.thisN,trial_blocks_exp.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,,0,0,0,0,0,0,0,0,,,,,,,,,right,1,0.456659078598,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
azul,right,blue,,0,0,0,0,0,1,1,1,,,,,,,,,right,1,0.0685389041901,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
verde,down,green,,0,0,0,0,0,2,2,3,,,,,,,,,right,0,0.700695991516,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
rojo,left,red,,0,0,0,0,0,3,3,5,,,,,,,,,left,1,0.618390083313,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
rojo,left,red,,0,0,0,0,0,4,4,4,,,,,,,,,left,1,0.618134021759,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
verde,down,green,,0,0,0,0,0,5,5,2,,,,,,,,,down,1,0.767138004303,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
,,,,0,0,0,0,,,,,,,,,,,,,,,,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
verde,down,green,,1,0,1,0,0,0,0,3,,,,,,,,,down,1,0.418948173523,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
azul,right,blue,,1,0,1,0,0,1,1,1,,,,,,,,,right,1,0.55203795433,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
rojo,left,red,,1,0,1,0,0,2,2,5,,,,,,,,,left,1,0.51771402359,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
azul,right,blue,,1,0,1,0,0,3,3,0,,,,,,,,,right,1,0.601505994797,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
verde,down,green,,1,0,1,0,0,4,4,2,,,,,,,,,down,1,0.366902112961,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
rojo,left,red,,1,0,1,0,0,5,5,4,,,,,,,,,left,1,0.700666904449,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
,,,,1,0,1,0,,,,,,,,,,,,,,,,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
neutral3,left,red,neutral,,,,,,,,,0,0,0,0,0,0,0,8,right,0,0.501598119736,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
negativa1,right,blue,negative,,,,,,,,,0,0,0,0,0,1,1,1,right,1,0.351387023926,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
neutral2,down,green,neutral,,,,,,,,,0,0,0,0,0,2,2,5,right,0,0.46821808815,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
negativa3,left,red,negative,,,,,,,,,0,0,0,0,0,3,3,7,right,0,0.501353979111,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,,,,,0,0,0,0,0,4,4,2,right,1,0.384001016617,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
positiva3,left,red,positive,,,,,,,,,0,0,0,0,0,5,5,6,right,0,0.583802938461,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
positiva1,right,blue,positive,,,,,,,,,0,0,0,0,0,6,6,0,right,1,0.55150604248,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
negativa2,down,green,negative,,,,,,,,,0,0,0,0,0,7,7,4,right,0,0.434777975082,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
positiva2,down,green,positive,,,,,,,,,0,0,0,0,0,8,8,3,right,0,0.484477043152,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
,,,,,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
positiva6,left,red,positive,,,,,,,,,1,0,1,0,0,0,0,6,right,0,0.417776823044,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
positiva4,right,blue,positive,,,,,,,,,1,0,1,0,0,1,1,0,right,1,0.368031978607,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
negativa5,down,green,negative,,,,,,,,,1,0,1,0,0,2,2,4,right,0,0.400068998337,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
negativa4,right,blue,negative,,,,,,,,,1,0,1,0,0,3,3,1,right,1,0.368104934692,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
positiva5,down,green,positive,,,,,,,,,1,0,1,0,0,4,4,3,right,0,0.317667007446,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
negativa6,left,red,negative,,,,,,,,,1,0,1,0,0,5,5,7,right,0,0.335099935532,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
neutral5,down,green,neutral,,,,,,,,,1,0,1,0,0,6,6,5,right,0,0.41730093956,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,,,,,1,0,1,0,0,7,7,2,right,1,0.384076118469,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
neutral6,left,red,neutral,,,,,,,,,1,0,1,0,0,8,8,8,right,0,0.367529153824,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
,,,,,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_26_1600,59.9276177141,emo_stroop,01,,
