text,corrAns,letterColor,trial_blocks_practice.thisRepN,trial_blocks_practice.thisTrialN,trial_blocks_practice.thisN,trial_blocks_practice.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks_exp.thisRepN,trial_blocks_exp.thisTrialN,trial_blocks_exp.thisN,trial_blocks_exp.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,0,0,0,0,0,0,0,1,,,,,right,1,0.784229040146,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
verde,down,green,0,0,0,0,0,1,1,2,,,,,left,0,0.434880971909,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
verde,down,green,0,0,0,0,0,2,2,3,,,,,down,1,0.434299945831,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
rojo,left,red,0,0,0,0,0,3,3,4,,,,,left,1,0.585016012192,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
rojo,left,red,0,0,0,0,0,4,4,5,,,,,left,1,0.484573841095,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
azul,right,blue,0,0,0,0,0,5,5,0,,,,,right,1,1.06818699837,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
,,,0,0,0,0,,,,,,,,,,,,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
verde,down,green,1,0,1,0,0,0,0,3,,,,,down,1,0.652544975281,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
azul,right,blue,1,0,1,0,0,1,1,0,,,,,right,1,1.01809597015,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
azul,right,blue,1,0,1,0,0,2,2,1,,,,,right,1,0.685005903244,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
rojo,left,red,1,0,1,0,0,3,3,5,,,,,left,1,0.551608800888,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
rojo,left,red,1,0,1,0,0,4,4,4,,,,,left,1,0.668437004089,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
verde,down,green,1,0,1,0,0,5,5,2,,,,,down,1,0.884790182114,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
,,,1,0,1,0,,,,,,,,,,,,2018_Sep_26_1552,60.0391356938,emo_stroop,01,,
