text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,,0,0,0,5,,,,,,,,,down,1,0.201702833176,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
azul,right,blue,,0,1,1,1,,,,,,,,,down,0,0.0847618579865,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
verde,down,green,,0,2,2,7,,,,,,,,,right,0,0.251258134842,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
rojo,left,red,,0,3,3,8,,,,,,,,,right,0,1.65034604073,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
rojo,left,red,,0,4,4,11,,,,,,,,,left,1,5.90019011497,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
verde,down,green,,0,5,5,4,,,,,,,,,left,0,0.0175399780273,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
rojo,left,red,,0,6,6,9,,,,,,,,,left,1,6.81689405441,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
rojo,left,red,,0,7,7,10,,,,,,,,,down,0,0.0529990196228,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
verde,down,green,,0,8,8,6,,,,,,,,,left,0,5.73391199112,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
azul,right,blue,,0,9,9,0,,,,,,,,,down,0,0.134460926056,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
azul,right,blue,,0,10,10,2,,,,,,,,,left,0,0.134920835495,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
azul,right,blue,,0,11,11,3,,,,,,,,,left,0,0.0519559383392,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
negativa4,right,blue,negative,,,,,0,0,0,0,0,0,0,0,left,0,0.467451095581,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
neutral6,left,red,neutral,,,,,0,0,0,0,0,1,1,7,left,1,0.319233894348,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
negativa6,left,red,negative,,,,,0,0,0,0,0,2,2,6,left,1,0.486603975296,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
neutral5,down,green,neutral,,,,,0,0,0,0,0,3,3,4,left,0,0.351617097855,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
positiva5,down,green,positive,,,,,0,0,0,0,0,4,4,2,left,0,0.502750873566,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
positiva6,left,red,positive,,,,,0,0,0,0,0,5,5,5,left,1,0.301089048386,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,6,6,1,left,0,0.236180782318,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
negativa5,down,green,negative,,,,,0,0,0,0,0,7,7,3,left,0,0.318428993225,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
negativa3,left,red,negative,,,,,1,0,1,0,0,0,0,6,left,1,0.367751836777,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,1,0,1,0,0,1,1,1,left,0,0.253163099289,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
negativa1,right,blue,negative,,,,,1,0,1,0,0,2,2,0,left,0,0.30193901062,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
positiva3,left,red,positive,,,,,1,0,1,0,0,3,3,5,left,1,0.234624147415,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
neutral2,down,green,neutral,,,,,1,0,1,0,0,4,4,4,left,0,0.267958879471,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
negativa2,down,green,negative,,,,,1,0,1,0,0,5,5,3,left,0,0.318183898926,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
positiva2,down,green,positive,,,,,1,0,1,0,0,6,6,2,left,0,0.367421865463,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
neutral3,left,red,neutral,,,,,1,0,1,0,0,7,7,7,left,1,0.418110847473,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_15_1219,60.138132756,emo_stroop,01,,
