text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,10,,,,,,,,,right,0,0.201951980591,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
verde,down,green,,0,1,1,8,,,,,,,,,right,0,0.185299873352,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
azul,right,blue,,0,2,2,0,,,,,,,,,right,1,0.11795592308,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
azul,right,blue,,0,3,3,6,,,,,,,,,right,1,0.301219940186,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
azul,right,blue,,0,4,4,7,,,,,,,,,right,1,0.0347759723663,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
rojo,left,red,,0,5,5,5,,,,,,,,,right,0,0.202142953873,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
rojo,left,red,,0,6,6,11,,,,,,,,,right,0,0.118577957153,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
azul,right,blue,,0,7,7,1,,,,,,,,,right,1,0.151873111725,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
rojo,left,red,,0,8,8,4,,,,,,,,,right,0,0.21849489212,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
verde,down,green,,0,9,9,3,,,,,,,,,right,0,0.250972986221,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
verde,down,green,,0,10,10,9,,,,,,,,,right,0,0.199457168579,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
verde,down,green,,0,11,11,2,,,,,,,,,right,0,0.0660870075226,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
negativa5,down,green,negative,,,,,0,0,0,0,0,0,0,4,right,0,0.0176439285278,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
neutral6,left,red,neutral,,,,,0,0,0,0,0,1,1,8,right,0,0.152395009995,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
positiva5,down,green,positive,,,,,0,0,0,0,0,2,2,3,right,0,0.134307861328,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
positiva4,right,blue,positive,,,,,0,0,0,0,0,3,3,0,right,1,0.201469898224,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
positiva6,left,red,positive,,,,,0,0,0,0,0,4,4,6,right,0,0.0186870098114,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,5,5,2,right,1,0.0175399780273,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
negativa4,right,blue,negative,,,,,0,0,0,0,0,6,6,1,right,1,0.417699098587,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
neutral5,down,green,neutral,,,,,0,0,0,0,0,7,7,5,right,0,0.199615001678,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
negativa6,left,red,negative,,,,,0,0,0,0,0,8,8,7,right,0,0.0184190273285,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
positiva3,left,red,positive,,,,,1,0,1,0,0,0,0,6,right,0,0.268054008484,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
neutral2,down,green,neutral,,,,,1,0,1,0,0,1,1,5,right,0,0.217622041702,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
negativa3,left,red,negative,,,,,1,0,1,0,0,2,2,7,right,0,0.250634908676,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
negativa1,right,blue,negative,,,,,1,0,1,0,0,3,3,1,right,1,1.16923689842,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
neutral3,left,red,neutral,,,,,1,0,1,0,0,4,4,8,right,0,0.267372846603,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
negativa2,down,green,negative,,,,,1,0,1,0,0,5,5,4,right,0,0.0844748020172,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
positiva1,right,blue,positive,,,,,1,0,1,0,0,6,6,0,right,1,0.235255002975,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,1,0,1,0,0,7,7,2,right,1,0.151660203934,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
positiva2,down,green,positive,,,,,1,0,1,0,0,8,8,3,right,0,0.0174751281738,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_26_1539,60.0197189266,emo_stroop,01,,
