text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,,0,0,0,10,,,,,,,,,left,1,0.251180887222,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
verde,down,green,,0,1,1,5,,,,,,,,,left,0,0.0680758953094,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
azul,right,blue,,0,2,2,2,,,,,,,,,left,0,0.1681599617,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
verde,down,green,,0,3,3,7,,,,,,,,,left,0,0.0345730781555,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
verde,down,green,,0,4,4,4,,,,,,,,,left,0,0.0354609489441,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
rojo,left,red,,0,5,5,8,,,,,,,,,left,1,0.00164604187012,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
azul,right,blue,,0,6,6,3,,,,,,,,,left,0,0.233947992325,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
rojo,right,blue,,0,7,7,0,,,,,,,,,left,0,0.0680320262909,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
azul,right,blue,,0,8,8,1,,,,,,,,,left,0,0.00161480903625,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
rojo,left,red,,0,9,9,9,,,,,,,,,left,1,0.10099196434,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
rojo,left,red,,0,10,10,11,,,,,,,,,left,1,0.33454990387,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
verde,down,green,,0,11,11,6,,,,,,,,,left,0,0.151574134827,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,0,0,6,left,1,0.749217987061,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,1,1,5,left,1,0.232986927032,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,2,2,1,left,0,0.117907047272,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,3,3,0,left,0,0.00152802467346,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,4,4,7,left,1,0.101463079453,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,5,5,4,left,0,0.034609079361,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,6,6,2,left,0,0.0517239570618,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
negativa2,down,green,negative,,,,,0,0,0,0,0,7,7,3,left,0,0.083801984787,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Aug_29_1347,60.1055568532,emo_stroop,01,,
