text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,,0,0,0,2,,,,,,,,,left,0,0.317156076431,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
rojo,left,red,,0,1,1,10,,,,,,,,,left,1,0.0507509708405,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
verde,down,green,,0,2,2,5,,,,,,,,,left,0,0.0681869983673,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
azul,right,blue,,0,3,3,3,,,,,,,,,left,0,0.184309005737,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
rojo,left,red,,0,4,4,8,,,,,,,,,down,0,0.0178771018982,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
rojo,left,red,,0,5,5,9,,,,,,,,,down,0,0.1334400177,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
verde,down,green,,0,6,6,4,,,,,,,,,right,0,0.05149102211,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
rojo,left,red,,0,7,7,11,,,,,,,,,down,0,0.151668071747,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
verde,down,green,,0,8,8,6,,,,,,,,,right,0,0.0348508358002,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
rojo,right,blue,,0,9,9,0,,,,,,,,,down,0,0.00124406814575,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
azul,right,blue,,0,10,10,1,,,,,,,,,down,0,0.118517160416,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
verde,down,green,,0,11,11,7,,,,,,,,,down,1,0.00168609619141,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
negativa1,right,blue,negative,,,,,0,0,0,0,0,0,0,0,right,1,0.417171955109,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
positiva2,down,green,positive,,,,,0,0,0,0,0,1,1,2,down,1,0.0345048904419,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
negativa2,down,green,negative,,,,,0,0,0,0,0,2,2,3,right,0,0.0845119953156,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,0,0,0,0,0,3,3,1,down,0,0.118273973465,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
positiva3,left,red,positive,,,,,0,0,0,0,0,4,4,5,down,0,0.00165104866028,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
neutral3,left,red,neutral,,,,,0,0,0,0,0,5,5,7,right,0,0.151440143585,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
neutral2,down,green,neutral,,,,,0,0,0,0,0,6,6,4,right,0,0.0515148639679,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
negativa3,left,red,negative,,,,,0,0,0,0,0,7,7,6,right,0,0.068284034729,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
neutral5,down,green,neutral,,,,,1,0,1,0,0,0,0,4,down,1,0.118050098419,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
negativa5,down,green,negative,,,,,1,0,1,0,0,1,1,3,right,0,0.134215116501,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
negativa6,left,red,negative,,,,,1,0,1,0,0,2,2,6,right,0,0.0674421787262,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
negativa4,right,blue,negative,,,,,1,0,1,0,0,3,3,0,right,1,0.150073051453,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
neutral6,left,red,neutral,,,,,1,0,1,0,0,4,4,7,right,0,0.0843098163605,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,1,0,1,0,0,5,5,1,right,1,0.0843958854675,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
positiva5,down,green,positive,,,,,1,0,1,0,0,6,6,2,right,0,0.0851891040802,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
positiva6,left,red,positive,,,,,1,0,1,0,0,7,7,5,right,0,0.0675570964813,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
,,,,,,,,1,0,1,0,,,,,,,,2018_Aug_29_1352,60.1594382084,emo_stroop,01,,
