text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,left,red,0,0,0,5,,,,,right,0,0.284772872925,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
azul,right,blue,0,1,1,1,,,,,right,1,0.0516238212585,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
azul,right,blue,0,2,2,6,,,,,right,1,0.25196814537,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
verde,down,green,0,3,3,8,,,,,right,0,0.0682709217072,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
rojo,left,red,0,4,4,11,,,,,right,0,0.217543840408,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
azul,right,blue,0,5,5,0,,,,,right,1,0.201769113541,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
verde,down,green,0,6,6,9,,,,,right,0,0.218877077103,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
verde,down,green,0,7,7,2,,,,,right,0,0.368155002594,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
verde,down,green,0,8,8,3,,,,,right,0,0.334784030914,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
azul,right,blue,0,9,9,7,,,,,right,1,0.366927862167,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
rojo,left,red,0,10,10,4,,,,,right,0,1.90189099312,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
rojo,left,red,0,11,11,10,,,,,right,0,0.0685069561005,2018_Sep_26_1533,59.5141871595,emo_stroop,01,,
