text,corrAns,letterColor,condition,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,right,blue,,0,0,0,0,,,,,,,,,left,0,0.134356021881,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
verde,down,green,,0,1,1,5,,,,,,,,,down,1,0.433779001236,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
azul,right,blue,,0,2,2,2,,,,,,,,,right,1,0.500296831131,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
verde,down,green,,0,3,3,4,,,,,,,,,right,0,0.4005651474,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
rojo,left,red,,0,4,4,11,,,,,,,,,left,1,0.499972820282,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
azul,right,blue,,0,5,5,1,,,,,,,,,down,0,1.19853687286,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
verde,down,green,,0,6,6,7,,,,,,,,,down,1,0.566874027252,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
rojo,left,red,,0,7,7,10,,,,,,,,,left,1,0.400346040726,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
rojo,left,red,,0,8,8,9,,,,,,,,,left,1,0.516978025436,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
azul,right,blue,,0,9,9,3,,,,,,,,,right,1,0.550179958344,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
verde,down,green,,0,10,10,6,,,,,,,,,down,1,0.365968942642,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
rojo,left,red,,0,11,11,8,,,,,,,,,left,1,0.550095081329,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
positiva5,down,green,positive,,,,,0,0,0,0,0,0,0,2,left,0,2.04640603065,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
negativa6,left,red,negative,,,,,0,0,0,0,0,1,1,6,left,1,0.317708969116,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
negativa4,right,blue,negative,,,,,0,0,0,0,0,2,2,0,left,0,0.266058921814,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
positiva6,left,red,positive,,,,,0,0,0,0,0,3,3,5,left,1,0.251090049744,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,0,0,0,0,0,4,4,1,left,0,0.318067073822,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
neutral5,down,green,neutral,,,,,0,0,0,0,0,5,5,4,left,0,0.233680009842,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
negativa5,down,green,negative,,,,,0,0,0,0,0,6,6,3,left,0,0.284628868103,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
neutral6,left,red,neutral,,,,,0,0,0,0,0,7,7,7,left,1,0.533135890961,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
,,,,,,,,0,0,0,0,,,,,,,,2018_Aug_29_1040,60.2500035912,emo_stroop,01,,
