text,corrAns,letterColor,condition,trial_blocks_practice.thisRepN,trial_blocks_practice.thisTrialN,trial_blocks_practice.thisN,trial_blocks_practice.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks_exp.thisRepN,trial_blocks_exp.thisTrialN,trial_blocks_exp.thisN,trial_blocks_exp.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,down,green,,0,0,0,0,0,0,0,2,,,,,,,,,down,1,1.68550491333,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
verde,down,green,,0,0,0,0,0,1,1,3,,,,,,,,,down,1,0.635096788406,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
azul,right,blue,,0,0,0,0,0,2,2,0,,,,,,,,,right,1,0.918286085129,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
azul,right,blue,,0,0,0,0,0,3,3,1,,,,,,,,,right,1,0.651482105255,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
rojo,left,red,,0,0,0,0,0,4,4,4,,,,,,,,,left,1,0.568469047546,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
rojo,left,red,,0,0,0,0,0,5,5,5,,,,,,,,,left,1,0.334912061691,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
,,,,0,0,0,0,,,,,,,,,,,,,,,,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
rojo,left,red,,1,0,1,0,0,0,0,4,,,,,,,,,left,1,0.735051870346,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
rojo,left,red,,1,0,1,0,0,1,1,5,,,,,,,,,left,1,0.501392126083,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
verde,down,green,,1,0,1,0,0,2,2,2,,,,,,,,,down,1,0.834836959839,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
azul,right,blue,,1,0,1,0,0,3,3,0,,,,,,,,,right,1,0.385066986084,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
azul,right,blue,,1,0,1,0,0,4,4,1,,,,,,,,,right,1,1.05036187172,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
verde,down,green,,1,0,1,0,0,5,5,3,,,,,,,,,right,0,0.567986965179,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
,,,,1,0,1,0,,,,,,,,,,,,,,,,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
negativa1,right,blue,negative,,,,,,,,,0,0,0,0,0,0,0,1,right,1,0.585843801498,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
negativa3,left,red,negative,,,,,,,,,0,0,0,0,0,1,1,7,right,0,0.917464017868,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
neutral2,down,green,neutral,,,,,,,,,0,0,0,0,0,2,2,5,right,0,0.401383876801,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
negativa2,down,green,negative,,,,,,,,,0,0,0,0,0,3,3,4,right,0,0.5518450737,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
positiva3,left,red,positive,,,,,,,,,0,0,0,0,0,4,4,6,right,0,0.43453001976,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
neutral1,right,blue,neutral,,,,,,,,,0,0,0,0,0,5,5,2,right,1,0.434154033661,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
positiva1,right,blue,positive,,,,,,,,,0,0,0,0,0,6,6,0,right,1,0.418892145157,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
positiva2,down,green,positive,,,,,,,,,0,0,0,0,0,7,7,3,right,0,0.502609014511,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
neutral3,left,red,neutral,,,,,,,,,0,0,0,0,0,8,8,8,right,0,0.435308933258,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
,,,,,,,,,,,,0,0,0,0,,,,,,,,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
positiva4,right,blue,positive,,,,,,,,,1,0,1,0,0,0,0,0,right,1,0.402397871017,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
positiva5,down,green,positive,,,,,,,,,1,0,1,0,0,1,1,3,right,0,0.300700187683,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
neutral4,right,blue,neutral,,,,,,,,,1,0,1,0,0,2,2,2,right,1,0.335280895233,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
negativa5,down,green,negative,,,,,,,,,1,0,1,0,0,3,3,4,right,0,0.352432012558,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
neutral6,left,red,neutral,,,,,,,,,1,0,1,0,0,4,4,8,right,0,0.401371955872,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
negativa4,right,blue,negative,,,,,,,,,1,0,1,0,0,5,5,1,right,1,0.284959077835,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
neutral5,down,green,neutral,,,,,,,,,1,0,1,0,0,6,6,5,right,0,0.351284980774,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
positiva6,left,red,positive,,,,,,,,,1,0,1,0,0,7,7,6,right,0,0.35084104538,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
negativa6,left,red,negative,,,,,,,,,1,0,1,0,0,8,8,7,right,0,0.48353099823,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
,,,,,,,,,,,,1,0,1,0,,,,,,,,2018_Sep_26_1559,60.1233054814,emo_stroop,01,,
