text,corrAns,letterColor,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_blocks.thisRepN,trial_blocks.thisTrialN,trial_blocks.thisN,trial_blocks.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,right,blue,0,0,0,1,,,,,left,0,0.351567983627,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
rojo,left,red,0,1,1,11,,,,,left,1,0.0675461292267,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
verde,down,green,0,2,2,9,,,,,down,1,0.100993156433,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
azul,right,blue,0,3,3,6,,,,,down,0,0.00164079666138,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
azul,right,blue,0,4,4,7,,,,,right,1,0.119759082794,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
verde,down,green,0,5,5,3,,,,,left,0,0.0362238883972,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
rojo,left,red,0,6,6,10,,,,,left,1,0.0514569282532,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
verde,down,green,0,7,7,2,,,,,left,0,0.101581811905,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
rojo,left,red,0,8,8,5,,,,,left,1,0.150686979294,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
verde,down,green,0,9,9,8,,,,,right,0,0.736546993256,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
rojo,left,red,0,10,10,4,,,,,right,0,0.251430034637,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
azul,right,blue,0,11,11,0,,,,,right,1,0.284027099609,2018_Sep_26_1511,59.9434622915,emo_stroop,01,,
